(( -1.78 ), 2.0538237388748 )
(( -2.9625 ), 0.82251439962284 )
(( 1.3765 ), 5.7024318534172 )
(( 2.143 ), 7.1451174222019 )
(( -1.948 ), 2.3423754463269 )
(( -0.5035 ), 3.6867920316831 )
(( 1.215 ), 5.8384036163694 )
(( 2.5845 ), 7.5977266940028 )
(( 0.939 ), 5.2514532699986 )
(( -2.949 ), 0.54071553261582 )
(( -0.532 ), 3.6404167502676 )
(( 2.0425 ), 6.5655440832079 )
(( 2.358 ), 7.0024439699534 )
(( 0.454 ), 4.9287237014725 )
(( -0.632 ), 3.5655299479009 )
(( -2.122 ), 1.4994487469635 )
(( 1.998 ), 6.5559324147745 )
(( -1.031 ), 3.198055668297 )
(( 2.0125 ), 6.742663425359 )
(( 2.543 ), 7.2699434081773 )
(( 1.25 ), 5.4816264909847 )
(( -2.626 ), 1.2813416361463 )
(( -2.005 ), 2.0154423781441 )
(( 2.432 ), 7.1257698542044 )
(( -1.549 ), 2.1801051227372 )
(( -1.897 ), 1.8545098293674 )
(( -2.635 ), 1.3630178825811 )
(( -1.8245 ), 2.0471109853248 )
(( 1.8875 ), 6.7382884350764 )
(( 2.1125 ), 7.0458997648784 )
(( -1.927 ), 1.9388924229072 )
(( -2.543 ), 1.0336431502393 )
(( -2.6895 ), 1.2610691951096 )
(( -2.5635 ), 1.0567687706293 )
(( 2.452 ), 7.3882730441798 )
(( -0.3115 ), 3.9655752423109 )
(( 0.3495 ), 4.6213625717179 )
(( -2.077 ), 2.0782295912142 )
(( -1.2435 ), 3.0253120894296 )
(( -0.5275 ), 3.8152425636683 )
(( 2.2745 ), 6.9897449256589 )
(( 2.4995 ), 7.4261962017892 )
(( 2.8015 ), 7.7079504142984 )
(( 0.2225 ), 4.2606120900506 )
(( 2.313 ), 6.8596538854423 )
(( -2.984 ), 0.80614631880387 )
(( 2.68 ), 7.3292258402286 )
(( 2.5335 ), 7.2643203712701 )
(( 1.0835 ), 5.5894198452963 )
(( 1.59 ), 6.0571424726859 )
(( -1.191 ), 2.6269627278784 )
(( 0.9525 ), 5.3947106128532 )
(( 0.742 ), 5.3466310404008 )
(( -2.454 ), 1.3222916865852 )
(( 2.018 ), 6.6200182925627 )
(( 0.5235 ), 4.6791074989115 )
(( 1.2535 ), 5.7613282095575 )
(( 0.152 ), 4.6194666843593 )
(( 1.2735 ), 5.6886008736199 )
(( 1.2585 ), 5.7356281492739 )
(( 2.235 ), 7.0910710234076 )
(( -0.147 ), 3.7235235596658 )
(( 2.658 ), 7.2601369701547 )
(( -2.253 ), 1.2782736346888 )
(( 1.4015 ), 5.9302969046685 )
(( -2.502 ), 1.1288161366149 )
(( -1.164 ), 2.7815393363279 )
(( -1.965 ), 2.1864062217058 )
(( 1.586 ), 5.8675020575272 )
(( -0.23 ), 4.2016464047737 )
(( -2.511 ), 1.0662153459276 )
(( -0.0255 ), 4.125230127532 )
(( -1.4715 ), 2.3238213521926 )
(( 1.527 ), 6.2182968380513 )
(( 2.1995 ), 6.7692911440479 )
(( -2.2985 ), 1.7504657469337 )
(( -2.3175 ), 1.9627281163963 )
(( -0.706 ), 3.3666605396058 )
(( 0.612 ), 4.8493422898789 )
(( 2.5475 ), 7.2961889380702 )
(( 0.202 ), 4.3640658145449 )
(( 0.664 ), 4.7498421350907 )
(( 0.4305 ), 4.9284810388561 )
(( 2.8635 ), 7.7337532433824 )
(( 0.834 ), 5.5534747651282 )
(( 0.887 ), 5.33971294358 )
(( -1.2745 ), 2.8179707775054 )
(( -0.7265 ), 3.0170243134003 )
(( 0.5765 ), 4.8856196567102 )
(( 0.022 ), 4.5267579844118 )
(( -2.276 ), 1.4842949148609 )
(( -0.782 ), 3.2207638393616 )
(( 1.544 ), 6.4055137990808 )
(( -1.7435 ), 2.1337355105512 )
(( 0.064 ), 4.27189231419 )
(( 0.313 ), 4.4418086618561 )
(( -2.6925 ), 1.2113906103982 )
(( -1.876 ), 1.8317869039791 )
(( 2.8335 ), 7.8831078996707 )
(( 0.9865 ), 5.3754099611265 )
(( -2.1985 ), 1.5889728637692 )
(( -1.931 ), 2.0956933189148 )
(( 1.245 ), 5.6294190451604 )
(( -2.832 ), 0.73146761004332 )
(( 1.6525 ), 6.267833791247 )
(( -2.816 ), 0.78676670818574 )
(( 2.6615 ), 7.4285217190935 )
(( -2.1915 ), 1.6560728025131 )
(( -1.1715 ), 2.7467143236507 )
(( 1.5965 ), 6.1708306245898 )
(( 2.2965 ), 6.8131249635259 )
(( 0.9585 ), 5.3721652265233 )
(( -0.4355 ), 3.8395575180261 )
(( -0.6455 ), 3.8397822695361 )
(( 2.5025 ), 7.4684422862924 )
(( 1.8425 ), 6.4854002956263 )
(( 0.947 ), 5.24619716677 )
(( -2.823 ), 0.75623554801498 )
(( 1.438 ), 6.2526561203529 )
(( -2.482 ), 1.0135272287104 )
(( 2.05 ), 6.6708272443937 )
(( 1.9455 ), 6.2899100207907 )
(( -2.0235 ), 2.098424338224 )
(( -2.2315 ), 1.3789795240681 )
